"agency_id","agency_name","agency_url","agency_timezone","agency_lang","agency_phone"
1,"S-Bahn Berlin GmbH","https://sbahn.berlin/","Europe/Berlin","de",""
32,"Oberhavel Verkehrsgesellschaft mbH","https://www.ovg-online.de","Europe/Berlin","de",""
47,"Verkehrsbetriebe Brandenburg an der Havel GmbH","https://www.vbbr.de/","Europe/Berlin","de",""
84,"Stadtverkehrsgesellschaft mbH Frankfurt (Oder)","https://www.svf-ffo.de/","Europe/Berlin","de",""
92,"Havelbus Verkehrsgesellschaft mbH","https://www.havelbus.de/","Europe/Berlin","de",""
93,"Uckermärkische Verkehrsgesellschaft mbH","https://uvg-online.com/","Europe/Berlin","de",""
108,"DB Regio AG","https://www.bahn.de/brandenburg","Europe/Berlin","de",""
138,"Günter Anger Güterverkehrs GmbH & Co. Omnibusvermietung KG","https://angerbus.de/","Europe/Berlin","de",""
150,"Verkehrsbetrieb Potsdam GmbH","https://www.vip-potsdam.de","Europe/Berlin","de",""
241,"Barnimer Busgesellschaft mbH","https://www.bbg-eberswalde.de","Europe/Berlin","de",""
246,"Verkehrsgesellschaft Teltow-Fläming mbH","https://www.vtf-online.de/","Europe/Berlin","de",""
251,"Regionale Verkehrsgesellschaft Dahme-Spreewald mbH","https://www.rvs-lds.de/","Europe/Berlin","de",""
341,"Verkehrsmanagement Elbe-Elster GmbH","https://verkehrsmanagement-elbeelster.de/","Europe/Berlin","de",""
346,"Verkehrsgesellschaft Oberspreewald-Lausitz mbH","https://www.vgosl.de/","Europe/Berlin","de",""
476,"Fritz Behrendt OHG","https://www.behrendt-touristik.de/","Europe/Berlin","de",""
480,"Glaser","https://www.busreisen-glaser.de/","Europe/Berlin","de",""
486,"Schöneicher Rüdersdorfer Straßenbahn GmbH","http://www.srs-tram.de","Europe/Berlin","de",""
487,"Strausberger Eisenbahn GmbH","https://www.strausbergereisenbahn.de/","Europe/Berlin","de",""
516,"Cottbusverkehr GmbH","https://www.cottbusverkehr.de/","Europe/Berlin","de",""
566,"Busverkehr Oder-Spree GmbH","https://bos-fw.de/","Europe/Berlin","de",""
596,"NEB Betriebsgesellschaft mbH","https://www.neb.de","Europe/Berlin","de",""
606,"A. Reich GmbH Busbetrieb","https://www.a-reich.com","Europe/Berlin","de",""
706,"Sabinchen Touristik GmbH","https://www.sabinchen-touristik.de/","Europe/Berlin","de",""
721,"Busverkehr Gerd Schmidt","https://www.fahrschuleschmidt.de","Europe/Berlin","de",""
726,"ORP Ostprignitz-Ruppiner Personennahverkehrsgesellschaft mbH","http://www.orp-busse.de","Europe/Berlin","de",""
731,"ODEG Ostdeutsche Eisenbahn GmbH","https://www.odeg.de/","Europe/Berlin","de",""
751,"Hanseatische Eisenbahn","https://www.hanseatische-eisenbahn.de/","Europe/Berlin","de",""
761,"Tropical Islands","https://www.tropical-islands.de/","Europe/Berlin","de",""
772,"DB Regio Bus Ost GmbH","https://www.dbregiobus-ost.de","Europe/Berlin","de",""
781,"Lange","https://www.lange-tours.de/","Europe/Berlin","de",""
796,"Berliner Verkehrsbetriebe","https://www.bvg.de/","Europe/Berlin","de",""
811,"Bayerische Oberlandbahn GmbH","https://www.mitteldeutsche-regiobahn.de/","Europe/Berlin","de",""
816,"prignitzbus","https://www.prignitz-bus.de","Europe/Berlin","de",""
841,"mobus Märkisch-Oderland Bus GmbH","https://www.mo-bus.de","Europe/Berlin","de","+493341-4494900"
846,"regiobus Potsdam Mittelmark GmbH","https://www.regiobus-pm.de/","Europe/Berlin","de",""
906,"Lausitzer Dampflok Club e.V.","https://www.lausitzerdampflokclub.de/","Europe/Berlin","de",""
