;time_plan;line;dest;delay;request;rideID
0;2022-10-27T20:46:00+02:00;X76;U Alt-Mariendorf;1.0;2022-10-27 20:46:18;33076
1;2022-10-27T20:47:00+02:00;179;U Alt-Mariendorf;-1.0;2022-10-27 20:46:18;17930
2;2022-10-27T20:47:00+02:00;M76;U Walther-Schreiber-Platz;3.0;2022-10-27 20:46:18;28854
3;2022-10-27T20:57:00+02:00;M76;U Walther-Schreiber-Platz;0.0;2022-10-27 20:56:19;28854
4;2022-10-27T21:00:00+02:00;X71;U Alt-Mariendorf;3.0;2022-10-27 20:56:19;35268
5;2022-10-27T21:06:00+02:00;X76;U Alt-Mariendorf;0.0;2022-10-27 20:56:19;33073
6;2022-10-27T21:07:00+02:00;179;U Alt-Mariendorf;0.0;2022-10-27 20:56:19;17930
7;2022-10-27T21:08:00+02:00;M76;U Alt-Mariendorf;0.0;2022-10-27 20:56:19;28941
8;2022-10-27T21:58:00+02:00;M76;U Walther-Schreiber-Platz;2.0;2022-10-27 22:00:17;28864
9;2022-10-27T22:00:00+02:00;X71;U Alt-Mariendorf;1.0;2022-10-27 22:00:17;35268
10;2022-10-27T22:06:00+02:00;X76;U Alt-Mariendorf;-1.0;2022-10-27 22:04:04;33078
11;2022-10-27T22:07:00+02:00;179;U Alt-Mariendorf;-1.0;2022-10-27 22:07:27;17930
12;2022-10-27T22:18:00+02:00;M76;U Walther-Schreiber-Platz;1.0;2022-10-27 22:12:41;28864
13;2022-10-27T22:20:00+02:00;X71;U Alt-Mariendorf;-1.0;2022-10-27 22:12:41;35268
14;2022-10-27T22:26:00+02:00;X76;U Alt-Mariendorf;0.0;2022-10-27 22:12:41;33117
15;2022-10-27T22:27:00+02:00;179;U Alt-Mariendorf;0.0;2022-10-27 22:12:41;17930
16;2022-10-27T22:58:00+02:00;M76;U Walther-Schreiber-Platz;0.0;2022-10-27 22:55:05;28864
17;2022-10-27T23:00:00+02:00;X71;U Alt-Mariendorf;1.0;2022-10-27 22:55:05;35268
18;2022-10-27T23:06:00+02:00;X76;U Alt-Mariendorf;-1.0;2022-10-27 23:04:02;33117
19;2022-10-27T23:07:00+02:00;179;U Alt-Mariendorf;0.0;2022-10-27 23:07:02;17930
20;2022-10-27T23:18:00+02:00;M76;U Walther-Schreiber-Platz;1.0;2022-10-27 23:19:05;28864
21;2022-10-27T23:20:00+02:00;X71;U Alt-Mariendorf;0.0;2022-10-27 23:19:05;35261
22;2022-10-27T23:26:00+02:00;X76;U Alt-Mariendorf;0.0;2022-10-27 23:25:06;33117
23;2022-10-27T23:27:00+02:00;179;U Alt-Mariendorf;-1.0;2022-10-27 23:25:06;17930
24;2022-10-27T23:38:00+02:00;M76;U Walther-Schreiber-Platz;0.0;2022-10-27 23:25:06;28864
25;2022-10-27T23:40:00+02:00;X71;U Alt-Mariendorf;-2.0;2022-10-27 23:25:06;35261
26;2022-10-27T23:46:00+02:00;X76;U Alt-Mariendorf;1.0;2022-10-27 23:47:58;33117
27;2022-10-27T23:47:00+02:00;179;U Alt-Mariendorf;0.0;2022-10-27 23:47:58;17930
28;2022-10-27T23:58:00+02:00;M76;U Walther-Schreiber-Platz;0.0;2022-10-27 23:51:50;28864
29;2022-10-28T00:00:00+02:00;X71;U Alt-Mariendorf;0.0;2022-10-27 23:51:50;35261
30;2022-10-28T00:06:00+02:00;X76;U Alt-Mariendorf;0.0;2022-10-27 23:51:50;33117
31;2022-10-28T00:07:00+02:00;179;U Alt-Mariendorf;0.0;2022-10-27 23:51:50;17941
32;2022-10-28T09:43:00+02:00;X71;U Alt-Mariendorf;-1.0;2022-10-28 09:43:07;35252
33;2022-10-28T09:47:00+02:00;X76;U Alt-Mariendorf;0.0;2022-10-28 09:46:09;33095
34;2022-10-28T09:50:00+02:00;179;U Alt-Mariendorf;3.0;2022-10-28 09:52:10;17923
35;2022-10-28T09:51:00+02:00;M76;U Walther-Schreiber-Platz;-1.0;2022-10-28 09:49:09;28837
36;2022-10-28T09:57:00+02:00;X76;U Alt-Mariendorf;0.0;2022-10-28 09:55:10;33095
37;2022-10-28T10:01:00+02:00;M76;U Walther-Schreiber-Platz;-1.0;2022-10-28 10:01:11;28837
38;2022-10-28T10:03:00+02:00;X71;U Alt-Mariendorf;3.0;2022-10-28 10:04:12;35252
39;2022-10-28T10:07:00+02:00;X76;U Alt-Mariendorf;0.0;2022-10-28 10:07:12;33096
40;2022-10-28T10:11:00+02:00;179;U Alt-Mariendorf;0.0;2022-10-28 10:10:13;17925
41;2022-10-28T10:11:00+02:00;M76;U Walther-Schreiber-Platz;4.0;2022-10-28 10:13:13;28837
42;2022-10-28T10:17:00+02:00;X76;U Alt-Mariendorf;1.0;2022-10-28 10:16:13;33097
43;2022-10-28T10:21:00+02:00;M76;U Walther-Schreiber-Platz;0.0;2022-10-28 10:19:14;28837
44;2022-10-28T10:23:00+02:00;X71;U Alt-Mariendorf;0.0;2022-10-28 10:22:14;35253
45;2022-10-28T10:27:00+02:00;X76;U Alt-Mariendorf;2.0;2022-10-28 10:28:15;33097
46;2022-10-28T10:31:00+02:00;M76;U Walther-Schreiber-Platz;0.0;2022-10-28 10:31:18;28837
47;2022-10-28T10:31:00+02:00;179;U Alt-Mariendorf;0.0;2022-10-28 10:31:18;17925
48;2022-10-28T10:37:00+02:00;X76;U Alt-Mariendorf;0.0;2022-10-28 10:37:19;33097
49;2022-10-28T10:41:00+02:00;M76;U Walther-Schreiber-Platz;1.0;2022-10-28 10:40:19;28837
50;2022-10-28T10:43:00+02:00;X71;U Alt-Mariendorf;-2.0;2022-10-28 10:43:20;35253
51;2022-10-28T10:47:00+02:00;X76;U Alt-Mariendorf;0.0;2022-10-28 10:46:20;33097
53;2022-10-28T10:51:00+02:00;M76;U Walther-Schreiber-Platz;6.0;2022-10-28 10:55:22;28837
