;time_plan;line;dest;delay;request;rideID
0;2022-10-27T20:47:00+02:00;179;U Alt-Mariendorf;-1.0;2022-10-27 20:46:18;17930
1;2022-10-27T20:46:00+02:00;X76;U Alt-Mariendorf;1.0;2022-10-27 20:46:18;33076
2;2022-10-27T20:47:00+02:00;M76;U Walther-Schreiber-Platz;3.0;2022-10-27 20:46:18;28854
3;2022-10-27T20:57:00+02:00;M76;U Walther-Schreiber-Platz;0.0;2022-10-27 20:56:19;28854
4;2022-10-27T21:00:00+02:00;X71;U Alt-Mariendorf;2.0;2022-10-27 21:01:20;35268
5;2022-10-27T21:06:00+02:00;X76;U Alt-Mariendorf;0.0;2022-10-27 21:06:20;33073
6;2022-10-27T21:07:00+02:00;179;U Alt-Mariendorf;0.0;2022-10-27 21:06:20;17930
7;2022-10-27T21:08:00+02:00;M76;U Alt-Mariendorf;1.0;2022-10-27 21:06:20;28941
12;2022-10-27T21:17:00+02:00;M76;U Walther-Schreiber-Platz;2.0;2022-10-27 21:16:21;28855
13;2022-10-27T21:20:00+02:00;X71;U Alt-Mariendorf;1.0;2022-10-27 21:16:21;35268
14;2022-10-27T21:26:00+02:00;X76;U Alt-Mariendorf;0.0;2022-10-27 21:16:21;33078
15;2022-10-27T21:27:00+02:00;179;U Alt-Mariendorf;2.0;2022-10-27 21:16:21;17930
